,Дата,новая луна,первая четверь,полнолуние ,третья четверть
0,1 january 2019,1,0,0,0
1,2 january 2019,1,0,0,0
2,3 january 2019,1,0,0,0
3,4 january 2019,1,0,0,0
4,5 january 2019,1,0,0,0
5,6 january 2019,1,0,0,0
6,7 january 2019,0,1,0,0
7,8 january 2019,0,1,0,0
8,9 january 2019,0,1,0,0
9,10 january 2019,0,1,0,0
10,11 january 2019,0,1,0,0
11,12 january 2019,0,1,0,0
12,13 january 2019,0,1,0,0
13,14 january 2019,0,1,0,0
14,15 january 2019,0,0,1,0
15,16 january 2019,0,0,1,0
16,17 january 2019,0,0,1,0
17,18 january 2019,0,0,1,0
18,19 january 2019,0,0,1,0
19,20 january 2019,0,0,1,0
20,21 january 2019,0,0,1,0
21,22 january 2019,0,0,0,1
22,23 january 2019,0,0,0,1
23,24 january 2019,0,0,0,1
24,25 january 2019,0,0,0,1
25,26 january 2019,0,0,0,1
26,27 january 2019,0,0,0,1
27,28 january 2019,0,0,0,1
28,29 january 2019,1,0,0,0
29,30 january 2019,1,0,0,0
30,31 january 2019,1,0,0,0
31,1 february  2019,1,0,0,0
32,2 february  2019,1,0,0,0
33,3 february  2019,1,0,0,0
34,4 february  2019,1,0,0,0
35,5 february  2019,1,0,0,0
36,6 february  2019,0,1,0,0
37,7 february  2019,0,1,0,0
38,8 february  2019,0,1,0,0
39,9 february  2019,0,1,0,0
40,10 february  2019,0,1,0,0
41,11 february  2019,0,1,0,0
42,12 february  2019,0,1,0,0
43,13 february  2019,0,1,0,0
44,14 february  2019,0,0,1,0
45,15 february  2019,0,0,1,0
46,16 february  2019,0,0,1,0
47,17 february  2019,0,0,1,0
48,18 february  2019,0,0,1,0
49,19 february  2019,0,0,1,0
50,20 february  2019,0,0,0,1
51,21 february  2019,0,0,0,1
52,22 february  2019,0,0,0,1
53,23 february  2019,0,0,0,1
54,24 february  2019,0,0,0,1
55,25 february  2019,0,0,0,1
56,26 february  2019,0,0,0,1
57,27 february  2019,1,0,0,0
58,28 february  2019,1,0,0,0
59,29 february  2019,1,0,0,0
60,1 march  2019,1,0,0,0
61,2 march  2019,1,0,0,0
62,3 march  2019,1,0,0,0
63,4 march  2019,1,0,0,0
64,5 march  2019,1,0,0,0
65,6 march  2019,1,0,0,0
66,7 march  2019,0,1,0,0
67,8 march  2019,0,1,0,0
68,9 march  2019,0,1,0,0
69,10 march  2019,0,1,0,0
70,11 march  2019,0,1,0,0
71,12 march  2019,0,1,0,0
72,13 march  2019,0,1,0,0
73,14 march  2019,0,1,0,0
74,15 march  2019,0,0,1,0
75,16 march  2019,0,0,1,0
76,17 march  2019,0,0,1,0
77,18 march  2019,0,0,1,0
78,19 march  2019,0,0,1,0
79,20 march  2019,0,0,1,0
