dr,time,weather,temp,w_spid,p
30декабрь2020,00:00,ясно,-12°,1 м/с,767
30декабрь2020,03:00,ясно,-15°,"<td><span class=""p"">766</span><span>мм рт.ст.</span></td>",766
30декабрь2020,06:00,ясно,-16°,"<td><span class=""p"">765</span><span>мм рт.ст.</span></td>",765
30декабрь2020,09:00,пасмурно,-16°,1 м/с,763
30декабрь2020,12:00,пасмурно,-13°,1 м/с,761
30декабрь2020,15:00,пасмурно,-11°,2 м/с,758
30декабрь2020,18:00,пасмурно,-8°,2 м/с,754
30декабрь2020,21:00,пасмурно,-5°,5 м/с,750
30декабрь2020,24:00,пасмурно,-6°,2 м/с,746
29декабрь2020,00:00,пасмурно,-7°,1 м/с,762
29декабрь2020,03:00,пасмурно,-6°,2 м/с,763
29декабрь2020,06:00,пасмурно,-5°,1 м/с,764
29декабрь2020,09:00,пасмурно,-5°,1 м/с,765
29декабрь2020,12:00,пасмурно,-5°,2 м/с,766
29декабрь2020,15:00,пасмурно,-7°,2 м/с,766
29декабрь2020,18:00,пасмурно,-9°,2 м/с,767
29декабрь2020,21:00,ясно,-11°,1 м/с,767
29декабрь2020,24:00,ясно,-12°,1 м/с,767
28декабрь2020,00:00,ясно,-11°,1 м/с,753
28декабрь2020,03:00,ясно,-12°,2 м/с,754
28декабрь2020,06:00,ясно,-12°,2 м/с,754
28декабрь2020,09:00,малооблачно,-12°,1 м/с,755
28декабрь2020,12:00,малооблачно,-10°,2 м/с,756
28декабрь2020,15:00,малооблачно,-9°,3 м/с,758
28декабрь2020,18:00,пасмурно,-9°,3 м/с,759
28декабрь2020,21:00,пасмурно,-8°,1 м/с,761
28декабрь2020,24:00,пасмурно,-7°,1 м/с,762
27декабрь2020,00:00,облачно,-9°,"<td><span class=""p"">753</span><span>мм рт.ст.</span></td>",753
27декабрь2020,03:00,ясно,-10°,"<td><span class=""p"">753</span><span>мм рт.ст.</span></td>",753
27декабрь2020,06:00,ясно,-11°,"<td><span class=""p"">752</span><span>мм рт.ст.</span></td>",752
27декабрь2020,09:00,ясно,-11°,"<td><span class=""p"">752</span><span>мм рт.ст.</span></td>",752
27декабрь2020,12:00,ясно,-8°,1 м/с,751
27декабрь2020,15:00,ясно,-8°,1 м/с,751
27декабрь2020,18:00,ясно,-9°,1 м/с,752
27декабрь2020,21:00,ясно,-11°,1 м/с,752
27декабрь2020,24:00,ясно,-11°,1 м/с,753
26декабрь2020,00:00,ясно,-11°,"<td><span class=""p"">757</span><span>мм рт.ст.</span></td>",757
26декабрь2020,03:00,малооблачно,-11°,1 м/с,757
