,date,year,day_year,day,hour,zone,day_name,temp,w_spid,p,малооблачно,облачно,пасмурно,ясно,Заражений за день,Перевозка плановая
34974,2020-12-27 20:00:00,2020,362,27,20,П/станция 2,Sunday,-10.333333333333334,1.0,752.0,0.0,0.0,0.0,1.0,106.0,0.0
34975,2020-12-27 21:00:00,2020,362,27,21,П/станция 2,Sunday,-11.0,1.0,752.0,0.0,0.0,0.0,1.0,106.0,0.0
34976,2020-12-27 22:00:00,2020,362,27,22,П/станция 2,Sunday,-11.166666666666664,1.1666666666666667,752.3333333333335,0.0,0.0,0.0,1.0,106.0,3.0
34977,2020-12-27 23:00:00,2020,362,27,23,П/станция 2,Sunday,-11.333333333333336,1.3333333333333333,752.6666666666665,0.0,0.0,0.0,1.0,106.0,1.0
34978,2020-12-28 00:00:00,2020,363,28,0,П/станция 2,Monday,-11.5,1.5,753.0,0.0,0.0,0.0,1.0,105.0,2.0
34979,2020-12-28 01:00:00,2020,363,28,1,П/станция 2,Monday,-11.666666666666664,1.6666666666666663,753.3333333333335,0.0,0.0,0.0,1.0,105.0,0.0
34980,2020-12-28 02:00:00,2020,363,28,2,П/станция 2,Monday,-11.833333333333336,1.8333333333333333,753.6666666666665,0.0,0.0,0.0,1.0,105.0,0.0
34981,2020-12-28 03:00:00,2020,363,28,3,П/станция 2,Monday,-12.0,2.0,754.0,0.0,0.0,0.0,1.0,105.0,0.0
34982,2020-12-28 04:00:00,2020,363,28,4,П/станция 2,Monday,-12.0,2.0,754.0,0.0,0.0,0.0,1.0,105.0,0.0
34983,2020-12-28 05:00:00,2020,363,28,5,П/станция 2,Monday,-12.0,2.0,754.0,0.0,0.0,0.0,1.0,105.0,0.0
34984,2020-12-28 06:00:00,2020,363,28,6,П/станция 2,Monday,-12.0,2.0,754.0,0.0,0.0,0.0,1.0,105.0,0.0
34985,2020-12-28 07:00:00,2020,363,28,7,П/станция 2,Monday,-12.0,1.6666666666666667,754.3333333333335,0.0,0.0,0.0,1.0,105.0,0.0
34986,2020-12-28 08:00:00,2020,363,28,8,П/станция 2,Monday,-12.0,1.3333333333333337,754.6666666666665,0.0,0.0,0.0,1.0,105.0,3.0
34987,2020-12-28 09:00:00,2020,363,28,9,П/станция 2,Monday,-12.0,1.0,755.0,1.0,0.0,0.0,0.0,105.0,2.0
34988,2020-12-28 10:00:00,2020,363,28,10,П/станция 2,Monday,-11.333333333333336,1.3333333333333333,755.3333333333335,1.0,0.0,0.0,0.0,105.0,3.0
34989,2020-12-28 11:00:00,2020,363,28,11,П/станция 2,Monday,-10.666666666666666,1.6666666666666663,755.6666666666665,1.0,0.0,0.0,0.0,105.0,2.0
34990,2020-12-28 12:00:00,2020,363,28,12,П/станция 2,Monday,-10.0,2.0,756.0,1.0,0.0,0.0,0.0,105.0,4.0
34991,2020-12-28 13:00:00,2020,363,28,13,П/станция 2,Monday,-9.666666666666666,2.333333333333333,756.6666666666665,1.0,0.0,0.0,0.0,105.0,1.0
34992,2020-12-28 14:00:00,2020,363,28,14,П/станция 2,Monday,-9.333333333333334,2.6666666666666665,757.3333333333335,1.0,0.0,0.0,0.0,105.0,1.0
34993,2020-12-28 15:00:00,2020,363,28,15,П/станция 2,Monday,-9.0,3.0,758.0,1.0,0.0,0.0,0.0,105.0,0.0
34994,2020-12-28 16:00:00,2020,363,28,16,П/станция 2,Monday,-9.0,3.0,758.3333333333335,1.0,0.0,0.0,0.0,105.0,4.0
34995,2020-12-28 17:00:00,2020,363,28,17,П/станция 2,Monday,-9.0,3.0,758.6666666666665,1.0,0.0,0.0,0.0,105.0,0.0
34996,2020-12-28 18:00:00,2020,363,28,18,П/станция 2,Monday,-9.0,3.0,759.0,0.0,0.0,1.0,0.0,105.0,1.0
34997,2020-12-28 19:00:00,2020,363,28,19,П/станция 2,Monday,-8.666666666666666,2.333333333333333,759.6666666666665,0.0,0.0,1.0,0.0,105.0,4.0
34998,2020-12-28 20:00:00,2020,363,28,20,П/станция 2,Monday,-8.333333333333334,1.6666666666666667,760.3333333333335,0.0,0.0,1.0,0.0,105.0,0.0
34999,2020-12-28 21:00:00,2020,363,28,21,П/станция 2,Monday,-8.0,1.0,761.0,0.0,0.0,1.0,0.0,105.0,0.0
35000,2020-12-28 22:00:00,2020,363,28,22,П/станция 2,Monday,-7.666666666666668,1.1666666666666667,761.3333333333335,0.0,0.0,1.0,0.0,105.0,1.0
